ID,isDelinquent,term,gender,purpose,home_ownership,age,FICO
1,1,36 months,Female,House,Mortgage,>25,300-500
2,0,36 months,Female,House,Rent,20-25,>500
3,1,36 months,Female,House,Rent,>25,300-500
4,1,36 months,Female,Car,Mortgage,>25,300-500
5,1,36 months,Female,House,Rent,>25,300-500
6,1,36 months,Male,Car,Own,>25,>500
7,0,36 months,Female,House,Rent,>25,>500
8,0,36 months,Male,House,Mortgage,>25,>500
9,1,36 months,Male,House,Rent,>25,>500
10,1,36 months,Female,House,Rent,20-25,>500
11,0,36 months,Male,House,Mortgage,20-25,>500
12,1,36 months,Female,Other,Rent,20-25,>500
13,1,60 months,Male,Car,Mortgage,20-25,>500
14,0,36 months,Male,House,Mortgage,20-25,>500
15,1,36 months,Female,Personal,Mortgage,20-25,300-500
16,1,36 months,Female,Other,Own,>25,300-500
17,1,60 months,Male,Personal,Own,20-25,>500
18,1,36 months,Female,Car,Mortgage,>25,300-500
19,1,36 months,Female,House,Rent,>25,300-500
20,0,36 months,Female,House,Rent,>25,>500
21,1,36 months,Female,House,Mortgage,>25,300-500
22,1,36 months,Female,House,Rent,>25,300-500
23,0,36 months,Female,Car,Mortgage,>25,>500
24,1,36 months,Male,Car,Mortgage,>25,>500
25,0,36 months,Female,Car,Mortgage,>25,>500
26,0,36 months,Male,House,Mortgage,20-25,>500
27,1,36 months,Male,Car,Rent,20-25,300-500
28,1,36 months,Male,House,Rent,20-25,300-500
29,0,60 months,Male,House,Rent,>25,300-500
30,1,36 months,Male,House,Rent,20-25,300-500
31,1,36 months,Male,Personal,Mortgage,20-25,300-500
32,1,36 months,Male,Personal,Mortgage,>25,>500
33,1,36 months,Male,House,Mortgage,20-25,300-500
34,0,36 months,Male,House,Own,>25,>500
35,1,36 months,Male,House,Mortgage,20-25,300-500
36,1,36 months,Female,Personal,Mortgage,>25,300-500
37,1,36 months,Female,House,Mortgage,>25,300-500
38,1,36 months,Male,House,Rent,20-25,>500
39,0,36 months,Female,House,Mortgage,>25,>500
40,0,60 months,Male,House,Mortgage,>25,>500
41,1,36 months,Female,House,Mortgage,>25,300-500
42,0,36 months,Male,Other,Own,20-25,>500
43,0,36 months,Female,House,Mortgage,20-25,>500
44,1,36 months,Male,House,Mortgage,20-25,>500
45,1,36 months,Female,Car,Rent,>25,300-500
46,1,36 months,Female,Car,Mortgage,>25,300-500
47,1,36 months,Male,House,Rent,>25,>500
48,1,36 months,Male,Car,Rent,20-25,300-500
49,0,36 months,Female,Wedding,Rent,>25,>500
50,0,60 months,Male,House,Mortgage,>25,300-500
51,1,36 months,Male,Other,Rent,20-25,300-500
52,0,36 months,Male,House,Mortgage,20-25,>500
53,1,36 months,Female,Personal,Mortgage,>25,>500
54,1,36 months,Male,House,Mortgage,>25,>500
